cpds-mini24,-10.2
cpds-mini73,-10.2
cpds-mini36,-9.7
cpds-mini35,-9.6
cpds-mini27,-9.6
cpds-mini25,-9.5
cpds-mini45,-9.3
cpds-mini66,-9.2
cpds-mini71,-9.2
cpds-mini42,-9.2
cpds-mini74,-8.9
cpds-mini33,-8.9
cpds-mini72,-8.9
cpds-mini3,-8.7
cpds-mini46,-8.5
cpds-mini62,-8.5
cpds-mini34,-8.4
cpds-mini65,-8.1
cpds-mini44,-8.1
cpds-mini53,-8
cpds-mini82,-8
cpds-mini51,-7.9
cpds-mini37,-7.9
cpds-mini75,-7.8
cpds-mini64,-7.8
cpds-mini41,-7.8
cpds-mini52,-7.7
cpds-mini83,-7.7
cpds-mini32,-7.7
cpds-mini61,-7.6
ligand,-7.6
cpds-mini55,-7.5
cpds-mini54,-7.4
cpds-mini76,-7.3
cpds-mini43,-7.2
cpds-mini63,-7.1
cpds-mini81,-7
cpds-mini85,-6.9
cpds-mini84,-6.9
cpds-mini26,-6.7
